student_id,student_name,student_address,student_branch,subject_id,subject_professor_id,professor_id,professor_name,subject,score_id,score_student_id,score_subject_id,marks,score_exam_id,exam_id,exam_name,exam_marks
6753, Saka, Burundi, natural science, 3509, 9984, 5600, honours degree, physics, 8584, 9224, 9716, 62, 358, 2812, prob. theory, 6
6899, Rereloke, Congo, economics, 9391, 2341, 4332, honours degree, economics, 7704, 2865, 2311, 77, 9472, 1738, medicine, 40
5488, Hamsosesu, Central African Republic, engineering, 2736, 5817, 7479, masters's degree, medicine, 5738, 3633, 7240, 19, 1895, 518, economics, 46
8506, Kakame, Egypt, economics, 6057, 835, 6121, masters's degree, medicine, 8513, 7435, 2104, 78, 5953, 7081, economics, 38
9676, Skmeskse, Ethiopia, natural science, 8814, 3582, 6937, masters's degree, databases, 7981, 5975, 1890, 38, 8769, 5470, prob. theory, 72
9750, Kelore, Cameroon, economics, 3955, 8937, 542, doctoral degree, databases, 6078, 3296, 8042, 86, 6305, 3254, foreign language, 11
9320, Ku, Egypt, economics, 165, 7159, 5021, masters's degree, medicine, 3017, 240, 7076, 29, 4536, 2415, physics, 65
4275, Skrk, Ghana, natural science, 4038, 4878, 3066, doctoral degree, databases, 9666, 9332, 5501, 7, 9380, 9005, graph theory, 65
7981, Ka, Burundi, natural science, 6588, 4292, 2613, masters's degree, foreign language, 5515, 7185, 2237, 79, 4560, 7081, physics, 6
4043, Sasksome, Cameroon, computer science, 7237, 464, 1826, masters's degree, physics, 8938, 8653, 2151, 32, 5820, 7459, foreign language, 36
4493, Se, Cameroon, foreign languages, 9458, 7569, 3244, honours degree, graph theory, 9612, 9367, 4478, 97, 8212, 5524, graph theory, 81
5302, Suhamham, Ghana, natural science, 2671, 9143, 1462, masters's degree, biology, 4226, 3653, 3745, 26, 5692, 7382, prob. theory, 3
7631, Ko, Burundi, computer science, 8790, 8292, 9324, doctoral degree, graph theory, 3719, 902, 466, 56, 3237, 4656, medicine, 72
9395, Resuse, Kenya, computer science, 412, 3028, 9811, doctoral degree, programming, 2566, 1118, 6144, 51, 2824, 2890, math, 85
5297, Sulm, Guinea, engineering, 9713, 6948, 8167, doctoral degree, foreign language, 1148, 8289, 7039, 74, 7122, 6373, social sudies, 4
3150, Hamkose, Mozambique, foreign languages, 6735, 3165, 8684, doctoral degree, physics, 9520, 9211, 5388, 81, 2274, 3810, math, 3
1488, Skkaseksa, Mozambique, economics, 7787, 8937, 9551, masters's degree, physics, 9230, 6340, 1559, 80, 7303, 1755, prob. theory, 4
5105, Reresasake, Ethiopia, foreign languages, 2139, 1149, 9505, masters's degree, biology, 7674, 6304, 2440, 90, 8507, 5370, medicine, 28
2138, Kosese, Cameroon, computer science, 8230, 3478, 8251, honours degree, physics, 1172, 5240, 7344, 17, 1088, 6004, math, 34
8139, Su, Cameroon, economics, 2054, 466, 8035, masters's degree, graph theory, 9699, 6426, 7809, 57, 9781, 661, graph theory, 75
280, Kosazi, Egypt, foreign languages, 6726, 641, 7924, masters's degree, programming, 4074, 5144, 689, 78, 7618, 2083, math, 54
3423, Suku, Ghana, foreign languages, 8268, 6253, 1178, honours degree, medicine, 1995, 707, 4498, 86, 3563, 678, economics, 57
4332, Sekloseklolo, Cameroon, natural science, 4925, 7541, 436, masters's degree, math, 5752, 1026, 6950, 100, 4789, 6423, foreign language, 22
5190, Suzirk, Mozambique, natural science, 9710, 6005, 6666, masters's degree, databases, 5697, 6222, 5375, 52, 60, 2112, economics, 24
8991, Mesore, Kenya, foreign languages, 3783, 782, 6980, honours degree, social sudies, 3804, 5748, 3230, 61, 2566, 3135, prob. theory, 43
8176, Ziham, Burundi, computer science, 1837, 8362, 5005, honours degree, social sudies, 9395, 7418, 2334, 60, 6024, 3840, economics, 63
4372, Mesekkolmse, Congo, economics, 6600, 2759, 5987, doctoral degree, economics, 4955, 9678, 1323, 45, 1188, 9950, graph theory, 28
2059, Kumemekere, Ethiopia, foreign languages, 8406, 1434, 3739, doctoral degree, graph theory, 2167, 7170, 3661, 52, 764, 5592, social sudies, 76
6029, Kasek, Egypt, engineering, 1499, 4289, 2725, honours degree, prob. theory, 9231, 5942, 7115, 15, 6727, 8202, graph theory, 21
9776, Lmkusek, Ghana, computer science, 8009, 2520, 5047, honours degree, differential eq., 2897, 5515, 97, 78, 4488, 783, graph theory, 92
869, Keziso, Cameroon, natural science, 5329, 9415, 9581, honours degree, economics, 9963, 4390, 1541, 66, 6283, 7223, programming, 16
